,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
94,"Jernbanegade 28, 6000, Kolding, Danmark",55.4899703,9.4770761,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,28,False,True,False
95,"Jernbanegade 28, 6000, Kolding, Danmark",55.4899703,9.4770761,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,28,False,True,False
96,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,32,False,True,True
97,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,32,False,True,True
98,"Jernbanegade 32, 6000, Kolding, Danmark",55.4898529,9.4774626,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,32,False,True,True
99,"Klostergade 3, 6000, Kolding, Danmark",55.489207,9.475278,Klostergade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,3,False,True,True
100,"Klostergade 3, 6000, Kolding, Danmark",55.489207,9.475278,Klostergade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,3,False,True,True
101,"Klostergade 12, 6000, Kolding, Danmark",55.4890233,9.4760534,Klostergade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,130,True,12,False,True,True
102,"Klostergade 12, 6000, Kolding, Danmark",55.4890233,9.4760534,Klostergade ,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,90,True,12,False,True,True
103,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,400,False,16,True,True,False
104,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,400,False,16,True,True,False
105,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
106,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
107,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
108,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
109,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
110,"Klostergade 16, 6000, Kolding, Danmark",55.4889692,9.4764694,Klostergade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,16,True,True,False
