,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
98,"Klostergade 60, 6000, Kolding, Danmark",55.48887449999999,9.477643,Klostergade ,6000,Kolding,1,"400 l. con, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,60,False,True,True
99,"Klostergade 60, 6000, Kolding, Danmark",55.48887449999999,9.477643,Klostergade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,60,False,True,True
100,"Klostergade 60, 6000, Kolding, Danmark",55.48887449999999,9.477643,Klostergade ,6000,Kolding,1,"770 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,770,False,60,False,True,True
101,"Lilletorv 2, 6000, Kolding, Danmark",55.489721,9.474746,Lilletorv ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,True,660,False,2,False,True,True
102,"Lilletorv 2, 6000, Kolding, Danmark",55.489721,9.474746,Lilletorv ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,True,660,False,2,False,True,True
103,"Lilletorv 2, 6000, Kolding, Danmark",55.489721,9.474746,Lilletorv ,6000,Kolding,1,"400 l. con, mad, med lås","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,True,400,False,2,False,True,True
104,"Munkegade 4, 6000, Kolding, Danmark",55.489163,9.4779065,Munkegade ,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,4,False,True,True
105,"Munkegade 4, 6000, Kolding, Danmark",55.489163,9.4779065,Munkegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,4,False,True,True
106,"Munkegade 4, 6000, Kolding, Danmark",55.489163,9.4779065,Munkegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,4,False,True,True
107,"Munkegade 4, 6000, Kolding, Danmark",55.489163,9.4779065,Munkegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,4,False,True,True
108,"Munkegade 4, 6000, Kolding, Danmark",55.489163,9.4779065,Munkegade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,4,False,True,True
109,"Munkegade 5 A, 6000, Kolding, Danmark",55.4896115,9.4774762,Munkegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,5,False,True,True
110,"Munkegade 5 A, 6000, Kolding, Danmark",55.4896115,9.4774762,Munkegade ,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,5,False,True,True
111,"Munkegade 7 A, 6000, Kolding, Danmark",55.4897382,9.4775045,Munkegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,7,False,True,True
112,"Munkegade 7 A, 6000, Kolding, Danmark",55.4897382,9.4775045,Munkegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,7,False,True,True
113,"Rendebanen 6 A, 6000, Kolding, Danmark",55.4890832,9.4714837,Rendebanen ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,6,False,True,True
114,"Rendebanen 6 A, 6000, Kolding, Danmark",55.4890832,9.4714837,Rendebanen ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,6,False,True,True
